THERAGEN  |  README — how to read this workbook
Conventions, sheet map, and naming rules used throughout.
—
Sheet map
Item	Meaning
Cover	Document control fields and scope summary
README	This sheet
Schema Overview	Both schemas at a glance
PMBOK_Entities	All 31 PMBOK tables
PMBOK_Fields	Every field in the PMBOK schema with type, PK/FK, defaults, description
PMBOK_Relationships	Foreign key relationships and cardinality
PMBOK_Enumerations	All enum / lookup value sets
PMBOK_Indexes	Recommended indexes and uniqueness constraints
PMBOK_ERD	Text-based entity-relationship diagram
PMBOK_DDL	SQL CREATE TABLE statements (PostgreSQL flavor)
DM_Entities	All 31 Document Management tables
DM_Fields	Every field in the DM schema
DM_Relationships	FK relationships and cardinality
DM_Enumerations	Enum / lookup value sets
DM_Indexes	Recommended indexes and uniqueness constraints
DM_ERD	Text-based ERD
DM_DDL	SQL CREATE TABLE statements (PostgreSQL flavor)
Cross_Schema_References	How identifiers and records flow between PMBOK and DM
Compliance_Coverage	Which fields/entities support which compliance frames
Glossary	Terms used throughout
Naming conventions
Item	Meaning
Tables	snake_case singular (e.g. wbs_element, document_version)
Columns	snake_case (e.g. owner_person_id, intake_id)
Primary keys	<table_name>_id (UUID v4) — surrogate, generated by gen_random_uuid()
Foreign keys	<referenced_table>_id
Timestamps	snake_case ending in _at; type TIMESTAMPTZ; default now() where applicable
Dates	type DATE in ISO 8601 (YYYY-MM-DD)
Money	NUMERIC(12,2); always USD unless qualified
Booleans	ends in _flag (e.g. phi_flag) or _verified, default FALSE
Enums	PostgreSQL ENUM type; valid values listed on Enumerations sheets
JSON	JSONB for arrays/objects (audit before/after, multi-select stores)
Cardinality notation
Item	Meaning
1:1	Exactly one child per parent
1:N	Zero or many children per parent
M:N	Many-to-many (implemented via junction table)
Self-ref	FK pointing back to same table (e.g. wbs_element.parent_wbs_element_id)
On-delete behavior
Item	Meaning
CASCADE	Deleting parent deletes children (used for owned/composed data)
RESTRICT	Parent cannot be deleted while children exist (used for reference data)
SET NULL	Child FK cleared on parent delete (used for optional links)
Schema separation rationale
Item	Meaning
Two distinct databases or schemas	PMBOK schema holds project work; DM schema holds documents that describe and govern that work.
Why separate	PMBOK changes per project; DM is enterprise-wide and changes slowly. Different audit, retention, and access patterns.
Bridge points	intake_id and doc_id are the two identifiers that flow between schemas — see Cross_Schema_References sheet.